Airport,NumberOfDeparture,NumberOfArrival,TotalFlightNumber
ATL,29870,29854,59724
ORD,18610,18605,37215
DEN,17519,17527,35046
DFW,16565,16572,33137
LAX,16427,16406,32833
SFO,13207,13206,26413
PHX,13024,13035,26059
LAS,12246,12245,24491
IAH,11660,11642,23302
MCO,10739,10730,21469
