TotalDelayArrivalFlights,TotalArrivalFlights,DepartureFlightArrivalRatio
1,10,0.1
58.0,298,0.194630872483221
23.0,72,0.319444444444444
2.0,62,0.032258064516129
166.0,977,0.169907881269191
156.0,996,0.156626506024096
58.0,379,0.153034300791557
36.0,217,0.165898617511521
14.0,61,0.229508196721311
32.0,183,0.174863387978142
397.0,2571,0.154414624659665
12.0,88,0.136363636363636
199.0,1156,0.172145328719723
6.0,57,0.105263157894737
157.0,1001,0.156843156843157
29.0,183,0.158469945355191
95.0,585,0.162393162393162
1,4,0.25
13.0,78,0.166666666666667
666.0,3288,0.202554744525547
3.0,59,0.0508474576271186
871.0,6016,0.144780585106383
311.0,2340,0.132905982905983
94.0,531,0.177024482109228
86.0,500,0.172
89.0,396,0.224747474747475
35.0,221,0.158371040723982
3.0,80,0.0375
12.0,60,0.2
125.0,747,0.167336010709505
1274.0,9739,0.130814251976589
3825.0,13206,0.289641072239891
44.0,232,0.189655172413793
33,153,0.215686274509804
66,481,0.137214137214137
9.0,93,0.0967741935483871
478.0,3217,0.148585638793907
570.0,2395,0.237995824634656
1175.0,8699,0.135072996896195
517.0,3154,0.163918833227647
22.0,62,0.354838709677419
407.0,3463,0.117528154779093
30.0,143,0.20979020979021
48.0,327,0.146788990825688
604.0,4320,0.139814814814815
92.0,446,0.20627802690583
28,98,0.285714285714286
13.0,118,0.110169491525424
18.0,62,0.290322580645161
75.0,458,0.163755458515284
30.0,208,0.144230769230769
1095.0,5996,0.182621747831888
18.0,162,0.111111111111111
21.0,167,0.125748502994012
162.0,1200,0.135
191.0,1419,0.134601832276251
24.0,94,0.25531914893617
13.0,86,0.151162790697674
12.0,84,0.142857142857143
18,172,0.104651162790698
104.0,523,0.198852772466539
0,3,0.0
19,84,0.226190476190476
39.0,359,0.108635097493036
3.0,62,0.0483870967741936
66.0,367,0.17983651226158
3,60,0.05
27,177,0.152542372881356
