ArrivalAirpot,CarrierDelayCount,NasDelayCount,WeatherDelayCount,LateCraftDelayCount,SecurityDelayCount,TotalDelayCount
RDD,10,6,13,4,14,47
RDM,18,15,31,13,32,109
RDU,142,257,366,220,395,1380
RHI,9,2,10,8,12,41
RIC,68,102,191,104,199,664
RKS,4,3,6,3,6,22
RNO,68,89,154,59,152,522
ROA,7,16,26,17,29,95
ROC,30,54,89,54,95,322
ROW,0,1,1,1,1,4
RST,6,8,13,5,13,45
RSW,287,255,632,405,662,2241
SAF,1,1,3,3,3,11
SAN,398,520,836,352,867,2973
SAT,109,219,296,129,310,1063
SAV,42,41,85,52,94,314
SBA,59,38,84,32,85,298
SBN,52,40,83,41,89,305
SBP,30,20,35,8,35,128
SCC,3,2,2,2,3,12
SCE,8,2,10,6,12,38
SDF,52,73,119,68,125,437
SEA,734,707,1205,620,1269,4535
SFO,2902,1035,3632,2373,3822,13764
SGF,20,20,40,20,44,144
SGU,20,12,33,22,33,120
SHV,29,47,65,30,66,237
SIT,4,4,9,4,9,30
SJC,206,255,466,164,477,1568
SJU,146,317,538,318,567,1886
SLC,663,684,1110,458,1171,4086
SMF,244,300,507,179,517,1747
SMX,16,15,22,4,22,79
SNA,183,245,391,162,405,1386
SPI,13,11,29,19,30,102
SRQ,9,22,44,32,48,155
STL,273,332,574,287,601,2067
STT,35,46,84,58,91,314
STX,10,12,24,19,27,92
SUN,5,5,13,7,13,43
SWF,2,17,18,6,18,61
SYR,26,34,70,38,74,242
TLH,8,21,28,20,30,107
TPA,408,539,1038,576,1093,3654
TRI,10,12,18,5,18,63
TTN,12,8,19,10,21,70
TUL,65,108,156,77,162,568
TUS,79,128,184,79,188,658
TVC,11,13,19,11,24,78
TWF,12,1,12,11,13,49
TXK,6,5,12,7,12,42
TYR,13,10,18,6,18,65
TYS,37,54,96,65,104,356
UST,0,0,0,0,0,0
VLD,5,12,19,13,19,68
VPS,12,20,36,27,39,134
WRG,2,1,3,1,3,10
XNA,39,30,61,32,66,228
YAK,2,1,2,0,3,8
YUM,13,14,26,12,26,91
