Airline,CarrierDelayCount,NasDelayCount,WeatherDelayCount,LateCraftDelayCount,SecurityDelayCount,TotalDelayCount
WN,8298,6106,459,9110,63,24036
AA,6914,6894,732,4956,82,19578
DL,4677,5134,1004,3735,3,14553
OO,3300,5554,405,5282,24,14565
EV,3176,3394,206,2879,0,9655
UA,3217,2539,455,2170,3,8384
B6,4630,3221,157,3527,54,11589
AS,562,1092,94,515,12,2275
NK,1732,2519,59,1336,41,5687
F9,445,581,34,409,0,1469
