Origin,CarrierDelayCount,NasDelayCount,WeatherDelayCount,LateCraftDelayCount,SecurityDelayCount,TotalDelayCount
ORD,2120,1903,671,1715,15,6424
ATL,2437,1808,505,1624,2,6376
LAX,1872,1949,146,1816,16,5799
SFO,1550,1440,83,1987,4,5064
DEN,1374,1450,122,1158,4,4108
DFW,1615,1180,58,1013,6,3872
LAS,1281,1177,45,1270,11,3784
PHX,1205,1246,31,981,35,3498
MCO,1099,774,73,1014,16,2976
IAH,823,836,65,574,2,2300
